internalTaxonId,researchNeededCode,researchNeededName
73743179,1.2,"Population size, distribution & trends"
73743179,3.4,Habitat trends
73743179,3.1,Population trends
74724049,1.2,"Population size, distribution & trends"
74724049,1.3,Life history & ecology
74724049,1.4,"Harvest, use & livelihoods"
74724049,1.5,Threats
189083,1.3,Life history & ecology
189083,1.2,"Population size, distribution & trends"
103707683,1.2,"Population size, distribution & trends"
103707683,1.3,Life history & ecology
103707683,1.5,Threats
15987,3.4,Habitat trends
15987,1.2,"Population size, distribution & trends"
15987,2.2,Area-based Management Plan
15987,3.1,Population trends
122542225,1.2,"Population size, distribution & trends"
122542225,1.5,Threats
4982,1.2,"Population size, distribution & trends"
4982,3.4,Habitat trends
4982,3.1,Population trends
4982,1.5,Threats
4982,1.3,Life history & ecology
60134,1.3,Life history & ecology
60134,3.1,Population trends
60134,1.2,"Population size, distribution & trends"
60134,1.4,"Harvest, use & livelihoods"
60134,2.1,Species Action/Recovery Plan
60134,3.2,Harvest level trends
60134,1.1,Taxonomy
133027,1.2,"Population size, distribution & trends"
133027,1.6,Actions
133027,1.1,Taxonomy
133027,1.4,"Harvest, use & livelihoods"
133027,1.5,Threats
133027,3.1,Population trends
133027,1.3,Life history & ecology
133141,1.2,"Population size, distribution & trends"
133141,1.6,Actions
133141,1.1,Taxonomy
133141,1.3,Life history & ecology
133141,1.4,"Harvest, use & livelihoods"
133141,3.1,Population trends
133141,1.5,Threats
133237,1.5,Threats
133237,1.6,Actions
133237,1.3,Life history & ecology
133237,1.4,"Harvest, use & livelihoods"
133237,3.1,Population trends
133237,1.1,Taxonomy
133237,1.2,"Population size, distribution & trends"
133395,3.1,Population trends
133395,1.4,"Harvest, use & livelihoods"
133395,1.3,Life history & ecology
133395,1.6,Actions
133395,1.5,Threats
133395,1.2,"Population size, distribution & trends"
133395,1.1,Taxonomy
133476,1.1,Taxonomy
133476,1.6,Actions
133476,1.2,"Population size, distribution & trends"
133476,3.1,Population trends
133476,1.3,Life history & ecology
133476,1.4,"Harvest, use & livelihoods"
133476,1.5,Threats
133594,1.4,"Harvest, use & livelihoods"
133594,1.5,Threats
133594,3.1,Population trends
133594,1.3,Life history & ecology
133594,1.2,"Population size, distribution & trends"
133594,1.6,Actions
133594,1.1,Taxonomy
133596,1.2,"Population size, distribution & trends"
133596,1.3,Life history & ecology
133596,3.1,Population trends
133596,1.5,Threats
133596,1.4,"Harvest, use & livelihoods"
133596,1.1,Taxonomy
133596,1.6,Actions
169783489,1.2,"Population size, distribution & trends"
172580289,1.2,"Population size, distribution & trends"
22714696,1.2,"Population size, distribution & trends"
22714696,1.5,Threats
22714696,4.0,Other
22714696,1.6,Actions
22714696,2.1,Species Action/Recovery Plan
184746,1.1,Taxonomy
184746,1.2,"Population size, distribution & trends"
184746,1.3,Life history & ecology
184746,1.5,Threats
184593,1.2,"Population size, distribution & trends"
184593,1.3,Life history & ecology
184593,1.5,Threats
184532,3.1,Population trends
184532,1.2,"Population size, distribution & trends"
184532,1.3,Life history & ecology
184592,1.1,Taxonomy
22713957,1.2,"Population size, distribution & trends"
173098,1.1,Taxonomy
173098,1.2,"Population size, distribution & trends"
173098,1.3,Life history & ecology
173098,1.5,Threats
173098,1.6,Actions
14569,1.1,Taxonomy
14569,1.2,"Population size, distribution & trends"
14569,1.3,Life history & ecology
14569,1.5,Threats
14569,1.6,Actions
22680252,1.2,"Population size, distribution & trends"
22680252,1.3,Life history & ecology
67968687,1.2,"Population size, distribution & trends"
67968687,1.3,Life history & ecology
67968687,1.5,Threats
44782,3.1,Population trends
44782,1.1,Taxonomy
44782,1.2,"Population size, distribution & trends"
44782,1.3,Life history & ecology
44782,1.4,"Harvest, use & livelihoods"
44782,1.5,Threats
44782,2.2,Area-based Management Plan
44782,3.2,Harvest level trends
44782,3.3,Trade trends
44782,3.4,Habitat trends
44782,1.6,Actions
44782,2.1,Species Action/Recovery Plan
22680339,3.1,Population trends
22680339,1.3,Life history & ecology
22680339,2.1,Species Action/Recovery Plan
206073999,1.2,"Population size, distribution & trends"
206073999,1.3,Life history & ecology
22717059,1.2,"Population size, distribution & trends"
